transaction_date|customer_id|transaction_id|amount
2019-08-11|5569857842|496261840|238
2020-11-12|2468255585|375214005|79
2019-04-10|6653516547|111411877|401
2020-04-15|9386359103|558378611|404
2021-08-21|6959595525|799564141|239
2019-10-30|0992625238|978921233|341
2019-01-19|5606321122|788277456|457
2020-10-05|1483645177|238865229|346
2019-02-13|8640547602|571203574|195
2020-11-15|1218246758|871695613|97
2019-03-28|2736986555|131881907|432
2021-03-05|0393476138|995496406|467
2021-03-16|2683508565|392022420|313
2021-01-28|1432819178|308260334|42
2019-08-07|2970774143|721678385|103
2019-06-26|3731124998|960563244|207
2019-05-17|5064887213|181370973|403
2021-03-17|4319727606|223457949|236
2021-04-10|4695876078|527773957|177
2019-03-08|9933396382|184910861|73
2021-08-23|9360637076|220148131|9
2020-06-29|5385649112|492358278|442
2021-06-24|6390917295|158390025|460
2020-08-11|7754985462|233000863|24
2020-04-25|1183586035|650886597|197
2021-02-19|9959348164|188544777|101
2019-08-20|2242651730|216835911|306
2019-09-24|8261012077|782470316|467
2020-10-12|0615505910|988480092|9
2021-08-10|2680268075|849543441|216
2021-05-22|3969522048|960596805|227
2020-03-07|4878999039|993012738|121
2020-11-17|8810686330|281559664|197
2020-05-19|7997102027|202974981|60
2019-11-27|8038459768|529790803|35
2021-05-27|4058299118|597240325|201
2020-08-24|9286672721|168929747|365
2019-08-02|1523949945|247932553|473
2021-07-21|0509135439|751638096|207
2020-06-28|8086560139|127809686|476
2020-08-23|4006006705|908934466|456
2020-06-20|5792389837|826289046|247
2019-04-08|2969513749|104994725|199
2020-08-17|5081571105|258384873|10
2019-12-19|9791469598|884405776|290
2019-09-08|2641440695|937531492|309
2020-09-29|9118088023|225816871|17
2019-09-24|9924873521|274277615|485
2020-03-28|0665080859|545735925|177
2021-10-08|3517859257|702701362|228
2019-09-26|6584201430|232372833|290
2019-05-07|7204368444|540398911|301
2019-03-23|4634086352|584605309|338
2019-02-17|3830859848|737170063|229
2019-04-07|1272820092|509628138|22
2019-03-01|3328353437|942107146|124
2021-09-11|3176468660|640490590|317
2020-02-01|9282467902|140838121|290
2020-02-03|5733852623|208403649|68
2021-06-14|1276071981|529211720|149
2020-04-02|6984774853|95768230|176
2021-06-09|1524689602|949776290|5
2021-04-08|8420389552|766132224|184
2020-03-12|7466881521|615691079|57
2019-07-07|6332985739|55630754|9
2019-07-26|4953125991|978990238|184
2019-06-07|6637690023|38038012|418
2021-06-01|9740709206|389655812|172
2021-08-08|6399403650|730019067|346
2020-06-14|5791313063|403859095|234
2019-03-10|1774037564|327335074|188
2021-04-21|1999470893|108058677|45
2019-07-02|4642499571|927343796|499
2019-07-12|2944332902|132368019|490
2020-04-04|9288092420|825067118|271
2019-02-20|3989382675|724033704|490
2020-01-07|4420550872|852605434|471
2019-09-16|0848422066|103371487|174
2020-01-24|9932316555|36430128|113
2020-06-18|9945996703|61487329|202
2019-09-02|5086923549|147046539|37
2019-12-23|8388184075|699842092|25
2019-08-31|3652769848|755086272|277
2021-03-29|9405015001|362152864|55
2019-01-01|8129891603|666252621|168
2020-01-25|1997534649|157743674|267
2019-03-23|6948666418|534206704|204
2019-03-25|6749661076|694976399|356
2019-11-20|9525981177|613876630|56
2020-07-01|2763036422|181756363|470
2019-04-08|8124055300|537007405|215
2019-06-11|4265243746|139530704|120
2021-07-02|8726643502|953160312|158
2021-10-22|6208291917|693189956|457
2020-10-12|9612242429|309924744|475
2019-03-10|5804553461|864191264|177
2020-01-26|5943471243|477246193|125
2021-06-01|3583367847|256603825|404
2021-05-10|6121818948|978430651|300
2020-01-09|2115636147|868856392|58
